contrast,left,right,estimand,component,tail,paired_birds,left_events,right_events,observed_unit_equal,bootstrap_ci_low,bootstrap_ci_high,phase_null_mean,phase_p_two_sided,phase_reps,bootstrap_reps,scale_m,holm_family,holm_phase_p,coverage_gate,primary_pass
pre_minus_none,pre_only,none_observed,E_union,E,union,50,84,537,-0.04662905491937861,-0.166118604915914,0.07234048907456415,-0.012859551013699464,0.623,999,20000,1000,diagnostic,,True,False
pre_minus_none,pre_only,none_observed,R_high,R,high,50,84,537,-0.01499756919004102,-0.03278526448702795,-0.0010252047760101455,-0.0016436290344135913,0.119,999,20000,1000,diagnostic,,True,False
pre_minus_none,pre_only,none_observed,R_low,R,low,50,84,537,-0.0067976033844495435,-0.020656350596592047,0.005055022753908152,-0.003241474855068335,0.549,999,20000,1000,diagnostic,,True,False
pre_minus_none,pre_only,none_observed,R_union,R,union,50,84,537,-0.021795172574490568,-0.04214999355564064,-0.0047261256997560746,-0.004885103889481929,0.048,999,20000,1000,diagnostic,,True,False
pre_minus_none,pre_only,none_observed,L_high,L,high,50,84,537,-0.06093887280637957,-0.1848936789841185,0.06592016861108324,0.0036202237464701245,0.307,999,20000,1000,diagnostic,,True,False
pre_minus_none,pre_only,none_observed,L_low,L,low,50,84,537,0.0361049904614915,-0.05760512424291867,0.1347877649952698,-0.011594670870687664,0.304,999,20000,1000,diagnostic,,True,False
pre_minus_none,pre_only,none_observed,L_union,L,union,50,84,537,-0.02483388234488804,-0.14107911823702357,0.0910143739586987,-0.007974447124217538,0.802,999,20000,1000,diagnostic,,True,False
post_minus_pre,post_only,pre_only,E_high,E,high,22,48,32,-0.0273134468032171,-0.25311456383466635,0.18245950770559294,-0.02250691944658782,0.973,999,20000,2000,diagnostic,,True,False
post_minus_pre,post_only,pre_only,E_low,E,low,22,48,32,0.11747888865251381,-0.1149893469053302,0.35442604245092446,0.02304658730617135,0.354,999,20000,2000,diagnostic,,True,False
post_minus_pre,post_only,pre_only,E_union,E,union,22,48,32,0.09016544184929673,-0.15394822743653833,0.3341737189487631,0.0005396678595835303,0.502,999,20000,2000,diagnostic,,True,False
post_minus_pre,post_only,pre_only,R_high,R,high,22,48,32,-0.0006625347009744918,-0.03875719838020737,0.03659382071600164,0.0009111334899657868,0.918,999,20000,2000,diagnostic,,True,False
post_minus_pre,post_only,pre_only,R_low,R,low,22,48,32,-0.01863302352356282,-0.04584079084869172,0.006708213996666916,-0.0008670981420490596,0.19,999,20000,2000,diagnostic,,True,False
