segment_key,track_id,events,old_n_steps,event_count_match,rho_coordinate_max_abs_error_km,tau_nonincreasing_adjacent_pairs,tau_duplicate_fixes,tau_confirmation_reach_positive,rho_support_old,rho_support_rebuilt,rho_support_abs_error,eligible_records_min,eligible_records_median
WA_XGPS20152016CRO10411_GPSdata_RS.xlsx|0,WA_XGPS20152016CRO10411_GPSdata_RS.xlsx,150,150,True,8.488765246283947e-13,0,0,True,252.8455725231654,252.8455725231654,0.0,1,3.0
WA_XGPS20152016CRO10421_GPSdata_RS.xlsx|0,WA_XGPS20152016CRO10421_GPSdata_RS.xlsx,156,156,True,1.3642420526593924e-12,0,0,True,51.86794836516356,51.867948365163556,7.105427357601002e-15,1,10.0
WA_XGPS20152016CRO10431_GPSdata_RS.xlsx|0,WA_XGPS20152016CRO10431_GPSdata_RS.xlsx,44,44,True,8.313350008393172e-13,0,0,True,16.262702750041456,16.262702750041456,0.0,1,35.0
WA_XGPS20152016CRO10441_GPSdata_RS.xlsx|1,WA_XGPS20152016CRO10441_GPSdata_RS.xlsx,95,95,True,1.4530598946294049e-12,0,0,True,41.33222282023246,41.332222820232346,1.1368683772161603e-13,1,16.0
WA_XGPS20152016CRO10621_GPSdata_RS.xlsx|0,WA_XGPS20152016CRO10621_GPSdata_RS.xlsx,77,77,True,2.120970066243899e-12,0,0,True,5.406846104050942,5.406846104050942,0.0,1,21.0
WA_XGPS20152016CRO10811_GPSdata_RS.xlsx|0,WA_XGPS20152016CRO10811_GPSdata_RS.xlsx,169,169,True,2.106925744982391e-12,0,0,True,176.28205991748473,176.28205991748473,0.0,1,4.0
WA_XGPS20152016CRO10821_GPSdata_RS.xlsx|0,WA_XGPS20152016CRO10821_GPSdata_RS.xlsx,39,39,True,7.087663789206999e-13,0,0,True,3.0851417233452594,3.0851417233466805,1.4210854715202004e-12,1,28.0
WA_XGPS20152016CRO10911_GPSdata_RS.xlsx|1,WA_XGPS20152016CRO10911_GPSdata_RS.xlsx,162,162,True,1.3935519405094965e-12,1,1,True,85.83035716287486,85.83035716287486,0.0,1,9.0
WA_XGPS20152016CRO20011_GPSdata_RS.xlsx|0,WA_XGPS20152016CRO20011_GPSdata_RS.xlsx,223,223,True,1.4508394485801546e-12,1,1,True,274.78677518915856,274.7867751891588,2.2737367544323206e-13,1,7.0
WA_XGPS20152016CRO20111_GPSdata_RS.xlsx|0,WA_XGPS20152016CRO20111_GPSdata_RS.xlsx,97,97,True,1.0302869668521453e-12,0,0,True,118.4319378540148,118.43193785401479,1.4210854715202004e-14,1,19.0
WA_XGPS20152016CRO20131_GPSdata_RS.xlsx|0,WA_XGPS20152016CRO20131_GPSdata_RS.xlsx,74,74,True,6.821210263296962e-13,1,1,True,150.26846322170002,150.26846322170275,2.7284841053187847e-12,1,7.0
WA_XGPS20152016CRO20311_GPSdata_RS.xlsx|0,WA_XGPS20152016CRO20311_GPSdata_RS.xlsx,154,154,True,1.4210854715202004e-12,0,0,True,20.932822929404097,20.932822929395,9.094947017729282e-12,1,4.0
WA_XGPS20152016CRO20321_GPSdata_RS.xlsx|0,WA_XGPS20152016CRO20321_GPSdata_RS.xlsx,144,144,True,9.586220706125914e-13,1,1,True,134.05986699298126,134.05986699298126,0.0,1,6.0
WA_XGPS20152016CRO20331_GPSdata_RS.xlsx|0,WA_XGPS20152016CRO20331_GPSdata_RS.xlsx,206,206,True,1.1226575225009583e-12,0,0,True,144.14621401593126,144.1462140158808,5.047695594839752e-11,1,9.5
