scale_m,behavior_class,estimand,component,tail,events,birds,observed_unit_equal,bootstrap_ci_low,bootstrap_ci_high,phase_null_mean,phase_p_one_sided,phase_reps,bootstrap_reps,holm_family,holm_phase_p,coverage_gate,primary_pass
1000,dive_near,R_low,R,low,247,78,0.0011955817980518109,-0.006323398136357697,0.007441174685593683,-0.001006165747046499,0.248,999,5000,descriptive,,True,False
1000,dive_near,R_union,R,union,247,78,-0.005242497615992971,-0.01872571546713177,0.005823517231943569,-0.0031759333571893702,0.633,999,5000,descriptive,,True,False
1000,dive_near,L_high,L,high,247,78,0.07405795387568927,-0.001096668124228502,0.15182883094124577,0.07491953442362197,0.501,999,5000,secondary_dive_L_sides_8,1.0,True,False
1000,dive_near,L_low,L,low,247,78,0.14740291193352636,0.08166957063172224,0.2146986021715299,0.05996411090194409,0.003,999,5000,secondary_dive_L_sides_8,0.021,True,False
1000,dive_near,L_union,L,union,247,78,0.2214608658092157,0.1427550703416382,0.29506693048853466,0.13488364532556604,0.014,999,5000,primary_dive_L_union_4_scales,0.042,True,True
1000,wet_only_near,E_high,E,high,455,82,0.13391551686748315,0.07320824795696279,0.1984428685461412,0.06829210000402372,0.012,999,5000,descriptive,,True,False
1000,wet_only_near,E_low,E,low,455,82,0.08392133186752493,0.04233416452942169,0.1281902243896553,0.06093787336535666,0.135,999,5000,descriptive,,True,False
1000,wet_only_near,E_union,E,union,455,82,0.21783684873500814,0.16156707178628038,0.2741192742685869,0.12922997336938036,0.001,999,5000,descriptive,,True,False
1000,wet_only_near,R_high,R,high,455,82,0.009220981993628854,0.0026304407457366417,0.01576429780199824,-7.243220539142978e-05,0.032,999,5000,descriptive,,True,False
1000,wet_only_near,R_low,R,low,455,82,0.009573315476930222,0.004018573982741924,0.015819202937731154,0.0008112970659119123,0.001,999,5000,descriptive,,True,False
1000,wet_only_near,R_union,R,union,455,82,0.01879429747055907,0.01043067447966262,0.027767139029001797,0.0007388648605204798,0.001,999,5000,descriptive,,True,False
1000,wet_only_near,L_high,L,high,455,82,0.12469453487385433,0.06589967865579117,0.18788439465683235,0.06836453220941514,0.019,999,5000,descriptive,,True,False
1000,wet_only_near,L_low,L,low,455,82,0.07434801639059473,0.034020490568792264,0.11880811639759743,0.06012657629944475,0.248,999,5000,descriptive,,True,False
1000,wet_only_near,L_union,L,union,455,82,0.19904255126444903,0.1428862728146093,0.25594506980371756,0.12849110850885986,0.007,999,5000,descriptive,,True,False
1000,no_tdr_near,E_high,E,high,417,93,0.17580874067865712,0.1116063433427016,0.2400597803865869,0.07827641585173499,0.003,999,5000,descriptive,,True,False
1000,no_tdr_near,E_low,E,low,417,93,0.10361866155133417,0.05123858722300541,0.15881663451408914,0.070881493421513,0.097,999,5000,descriptive,,True,False
1000,no_tdr_near,E_union,E,union,417,93,0.2794274022299913,0.2221613280457348,0.334614140250833,0.14915790927324798,0.001,999,5000,descriptive,,True,False
1000,no_tdr_near,R_high,R,high,417,93,-0.00441746632008594,-0.015994503442862844,0.0060349899348252295,-0.0002940206664556238,0.811,999,5000,descriptive,,True,False
1000,no_tdr_near,R_low,R,low,417,93,0.01658866068430979,0.005459936035061253,0.028958295480638125,0.001383002609907144,0.001,999,5000,descriptive,,True,False
1000,no_tdr_near,R_union,R,union,417,93,0.012171194364223852,0.0003451135768630151,0.02495286419341781,0.00108898194345152,0.01,999,5000,descriptive,,True,False
1000,no_tdr_near,L_high,L,high,417,93,0.1802262069987431,0.11650314378006837,0.24302914725921826,0.07857043651819062,0.002,999,5000,descriptive,,True,False
1000,no_tdr_near,L_low,L,low,417,93,0.08703000086702442,0.037744678903503755,0.13926591266587318,0.06949849081160586,0.234,999,5000,descriptive,,True,False
1000,no_tdr_near,L_union,L,union,417,93,0.2672562078657674,0.20872863522901497,0.3226022421240771,0.14806892732979648,0.001,999,5000,descriptive,,True,False
2000,dive_near,E_high,E,high,154,68,0.06408711143734164,-0.026054403409598977,0.15817043378040926,0.06782515604274099,0.525,999,5000,descriptive,,True,False
2000,dive_near,E_low,E,low,154,68,0.19350660114637586,0.1095874720017147,0.27992439536752123,0.07068749544892769,0.001,999,5000,descriptive,,True,False
2000,dive_near,E_union,E,union,154,68,0.2575937125837175,0.167525854435794,0.3455507155207768,0.13851265149166866,0.006,999,5000,descriptive,,True,False
2000,dive_near,R_high,R,high,154,68,-0.01074001217512209,-0.02587190777841499,0.002033881063964289,-0.001467693985604964,0.919,999,5000,descriptive,,True,False
2000,dive_near,R_low,R,low,154,68,0.007198615857591876,-0.0015584361727149778,0.014059727508037847,0.0018214743257863742,0.053,999,5000,descriptive,,True,False
2000,dive_near,R_union,R,union,154,68,-0.0035413963175302174,-0.019058476001971518,0.009839492974985863,0.000353780340181409,0.699,999,5000,descriptive,,True,False
2000,dive_near,L_high,L,high,154,68,0.07482712361246373,-0.012084709660742824,0.16565992469680937,0.06929285002834595,0.442,999,5000,secondary_dive_L_sides_8,1.0,True,False
2000,dive_near,L_low,L,low,154,68,0.18630798528878398,0.10305317077818762,0.2727142459602431,0.06886602112314129,0.001,999,5000,secondary_dive_L_sides_8,0.008,True,False
2000,dive_near,L_union,L,union,154,68,0.26113510890124764,0.1761041179683965,0.3450607879172131,0.13815887115148723,0.005,999,5000,primary_dive_L_union_4_scales,0.02,True,True
2000,wet_only_near,E_high,E,high,258,79,0.09981675537719308,0.029546742687263004,0.1745398118854672,0.0656579398917497,0.171,999,5000,descriptive,,True,False
2000,wet_only_near,E_low,E,low,258,79,0.08217113394971094,0.022928799515982905,0.1457894378338421,0.0649388152082127,0.28,999,5000,descriptive,,True,False
2000,wet_only_near,E_union,E,union,258,79,0.181987889326904,0.10599467815373943,0.2606918479702116,0.1305967550999624,0.099,999,5000,descriptive,,True,False
2000,wet_only_near,R_high,R,high,258,79,0.01026005420294043,0.0014652613230045019,0.019491673794938675,0.0012242086455945623,0.061,999,5000,descriptive,,True,False
2000,wet_only_near,R_low,R,low,258,79,0.013452679148495253,0.005370858204489416,0.022555754476385463,0.001423582948240664,0.001,999,5000,descriptive,,True,False
2000,wet_only_near,R_union,R,union,258,79,0.023712733351435675,0.013086694269696887,0.03581814791711233,0.002647791593835225,0.001,999,5000,descriptive,,True,False
2000,wet_only_near,L_high,L,high,258,79,0.08955670117425268,0.019230061370002213,0.16403924128772235,0.06443373124615515,0.248,999,5000,descriptive,,True,False
2000,wet_only_near,L_low,L,low,258,79,0.0687184548012157,0.01001242034903513,0.13161469513268625,0.06351523225997205,0.434,999,5000,descriptive,,True,False
2000,wet_only_near,L_union,L,union,258,79,0.15827515597546832,0.08240942405156153,0.23622180872652282,0.12794896350612717,0.229,999,5000,descriptive,,True,False
2000,no_tdr_near,E_high,E,high,276,81,0.18767061200888208,0.11346686253503266,0.26122538797030087,0.06602007086166212,0.001,999,5000,descriptive,,True,False
2000,no_tdr_near,E_low,E,low,276,81,0.10753993909481446,0.04303174775892675,0.17560021454736932,0.078529180485499,0.177,999,5000,descriptive,,True,False
2000,no_tdr_near,E_union,E,union,276,81,0.29521055110369654,0.23021328417311354,0.359228488549107,0.1445492513471611,0.001,999,5000,descriptive,,True,False
2000,no_tdr_near,R_high,R,high,276,81,-0.0008331960414887474,-0.014302166359562623,0.012551846401439084,0.0014950936982639806,0.669,999,5000,descriptive,,True,False
2000,no_tdr_near,R_low,R,low,276,81,0.021953244207935402,0.008338149779340713,0.03730648664191889,0.0021910551614802666,0.001,999,5000,descriptive,,True,False
2000,no_tdr_near,R_union,R,union,276,81,0.021120048166446644,0.005392681980610143,0.03786745316785238,0.003686148859744246,0.001,999,5000,descriptive,,True,False
2000,no_tdr_near,L_high,L,high,276,81,0.18850380805037084,0.1139401782425968,0.2638078832733427,0.06452497716339813,0.001,999,5000,descriptive,,True,False
2000,no_tdr_near,L_low,L,low,276,81,0.08558669488687909,0.024037773696082416,0.15089329201523372,0.07633812532401876,0.384,999,5000,descriptive,,True,False
2000,no_tdr_near,L_union,L,union,276,81,0.2740905029372499,0.209582160297593,0.33832622240058846,0.1408631024874169,0.001,999,5000,descriptive,,True,False
