scale_m,contrast,left,right,estimand,component,tail,paired_birds,observed_unit_equal,bootstrap_ci_low,bootstrap_ci_high,phase_null_mean,phase_p_one_sided,phase_reps,bootstrap_reps,holm_family,holm_phase_p,coverage_gate,primary_pass
2000,dive_minus_wet,dive_near,wet_only_near,L_low,L,low,61,0.09103760847021972,-0.01271477444676801,0.1937398345528597,-0.00010124019948135258,0.042,999,5000,secondary_dive_minus_wet_L_sides_8,0.336,True,False
2000,dive_minus_wet,dive_near,wet_only_near,L_union,L,union,61,0.09797031712781462,-0.020798957997672063,0.22055082008648894,0.002583062915929392,0.065,999,5000,primary_dive_minus_wet_L_union_4_scales,0.26,True,False
2000,dive_minus_no_tdr,dive_near,no_tdr_near,E_high,E,high,54,-0.1823987284616011,-0.32577357114329963,-0.03267610876837398,0.000903052578683933,0.997,999,5000,descriptive,,True,False
2000,dive_minus_no_tdr,dive_near,no_tdr_near,E_low,E,low,54,0.14708091620053068,0.014083006185885715,0.27915479834902257,-0.006309847001420825,0.004,999,5000,descriptive,,True,False
2000,dive_minus_no_tdr,dive_near,no_tdr_near,E_union,E,union,54,-0.03531781226107039,-0.16487592197908812,0.09268947813119637,-0.00540679442273689,0.686,999,5000,descriptive,,True,False
2000,dive_minus_no_tdr,dive_near,no_tdr_near,R_high,R,high,54,-0.01807221705869244,-0.0422529136843757,0.0057108988748792704,-0.0033334741625536115,0.922,999,5000,descriptive,,True,False
2000,dive_minus_no_tdr,dive_near,no_tdr_near,R_low,R,low,54,-0.008241557065551611,-0.02241971456931007,0.004762592548523335,-0.0007582914976827461,0.872,999,5000,descriptive,,True,False
2000,dive_minus_no_tdr,dive_near,no_tdr_near,R_union,R,union,54,-0.02631377412424405,-0.05118060456981126,-0.0024528048888656246,-0.004091765660236357,0.984,999,5000,descriptive,,True,False
2000,dive_minus_no_tdr,dive_near,no_tdr_near,L_high,L,high,54,-0.1643265114029085,-0.3050668598069668,-0.014459709264665953,0.004236526741237542,0.996,999,5000,secondary_dive_minus_no_tdr_L_all_12,1.0,True,False
2000,dive_minus_no_tdr,dive_near,no_tdr_near,L_low,L,low,54,0.1553224732660823,0.024817475348974397,0.285324711805445,-0.005551555503738073,0.003,999,5000,secondary_dive_minus_no_tdr_L_all_12,0.036000000000000004,True,False
2000,dive_minus_no_tdr,dive_near,no_tdr_near,L_union,L,union,54,-0.009004038136826339,-0.13306676348229854,0.11347264621654161,-0.0013150287625005414,0.545,999,5000,secondary_dive_minus_no_tdr_L_all_12,1.0,True,False
