property,segments,total_segments,percent_segments,figure,panel,record_type,replicate,rho_chl_support,rho_chl_median_log_length
,,,,Supplementary Figure 5,b-d,eligible-record replacement,137,-0.154477862254025,-0.1080221377459749
,,,,Supplementary Figure 5,b-d,eligible-record replacement,138,-0.1477191413237925,-0.0863707513416815
,,,,Supplementary Figure 5,b-d,eligible-record replacement,139,-0.1602862254025045,-0.1077146690518783
,,,,Supplementary Figure 5,b-d,eligible-record replacement,140,-0.1551878354203935,-0.1051878354203935
,,,,Supplementary Figure 5,b-d,eligible-record replacement,141,-0.1336650268336315,-0.1375447227191413
,,,,Supplementary Figure 5,b-d,eligible-record replacement,142,-0.1432077370304114,-0.1126397584973166
,,,,Supplementary Figure 5,b-d,eligible-record replacement,143,-0.1397081842576028,-0.1171511627906976
,,,,Supplementary Figure 5,b-d,eligible-record replacement,144,-0.1448512969588551,-0.0966178443649374
,,,,Supplementary Figure 5,b-d,eligible-record replacement,145,-0.1522361359570662,-0.1115831842576028
,,,,Supplementary Figure 5,b-d,eligible-record replacement,146,-0.1349899373881932,-0.1180903398926655
,,,,Supplementary Figure 5,b-d,eligible-record replacement,147,-0.1273479427549195,-0.1209805456171735
,,,,Supplementary Figure 5,b-d,eligible-record replacement,148,-0.1486024150268336,-0.1324966457960644
,,,,Supplementary Figure 5,b-d,eligible-record replacement,149,-0.137231663685152,-0.0952482110912343
,,,,Supplementary Figure 5,b-d,eligible-record replacement,150,-0.1456283542039356,-0.1347495527728086
,,,,Supplementary Figure 5,b-d,eligible-record replacement,151,-0.1343638193202146,-0.1097271914132379
,,,,Supplementary Figure 5,b-d,eligible-record replacement,152,-0.1349843470483005,-0.1103644901610018
,,,,Supplementary Figure 5,b-d,eligible-record replacement,153,-0.1474731663685152,-0.0926542933810375
,,,,Supplementary Figure 5,b-d,eligible-record replacement,154,-0.1323233452593918,-0.1364266547406082
,,,,Supplementary Figure 5,b-d,eligible-record replacement,155,-0.1427101967799642,-0.1275268336314848
,,,,Supplementary Figure 5,b-d,eligible-record replacement,156,-0.1368012075134168,-0.1242061717352415
,,,,Supplementary Figure 5,b-d,eligible-record replacement,157,-0.1290250447227191,-0.1215507602862254
,,,,Supplementary Figure 5,b-d,eligible-record replacement,158,-0.1413293828264758,-0.0940798300536672
,,,,Supplementary Figure 5,b-d,eligible-record replacement,159,-0.1518056797853309,-0.090675313059034
,,,,Supplementary Figure 5,b-d,eligible-record replacement,160,-0.1429394007155635,-0.1208296064400715
,,,,Supplementary Figure 5,b-d,eligible-record replacement,161,-0.1412008050089445,-0.1151330500894454
