scale_m,behavior_group,estimand,events,individuals,individual_equal_mean,bootstrap_ci_low,bootstrap_ci_high,phase_null_mean,phase_p_raw,holm_family,phase_p_holm
2000,forage_dominant,R_low,32,8,-0.0034586974400669305,-0.016231514900384388,0.007239165001821208,0.0003521578433443465,0.691,descriptive,
2000,forage_dominant,R_union,32,8,0.024074375961100833,0.00796696576080254,0.04104110962566845,-0.0013857013174096127,0.059,descriptive,
2000,forage_dominant,L_high,32,8,0.06858202307516333,-0.06878127514846263,0.2021755970993776,0.010759214550288408,0.265,secondary_forage_dominant_L_tails_8,0.645
2000,forage_dominant,L_low,32,8,0.2247622381006527,0.03112425768675769,0.4365830561714708,0.03422562010087417,0.017,secondary_forage_dominant_L_tails_8,0.11900000000000001
2000,forage_dominant,L_union,32,8,0.293344261175816,0.11578826251873127,0.4713782423538521,0.04498483465116258,0.009,primary_forage_dominant_L_union_4_scales,0.018
2000,rest_dominant,E_high,29,7,-0.11154025868311582,-0.23147217861503575,0.0318724925867783,0.02281110376348472,0.923,descriptive,
2000,rest_dominant,E_low,29,7,0.15375868619916241,-0.002281345198011851,0.31045936647127126,0.06666342247691454,0.203,descriptive,
2000,rest_dominant,E_union,29,7,0.04221842751604656,-0.2184853924734877,0.30667490578204865,0.08947452624039924,0.643,descriptive,
2000,rest_dominant,R_high,29,7,0.007317166264534686,-0.0064971411212012735,0.021504461008220285,-0.0034035550368048287,0.181,descriptive,
2000,rest_dominant,R_low,29,7,0.0010236559829291654,-0.016801802749719416,0.0160641989589358,-0.0005041978277149546,0.482,descriptive,
2000,rest_dominant,R_union,29,7,0.00834082224746385,-0.015528842850271427,0.032712605472708815,-0.0039077528645197835,0.173,descriptive,
2000,rest_dominant,L_high,29,7,-0.11885742494765049,-0.24310205667348525,0.022129658144695762,0.026214658800289545,0.937,descriptive,
2000,rest_dominant,L_low,29,7,0.15273503021623322,-0.004568209568209565,0.3077061701873732,0.0671676203046295,0.198,descriptive,
2000,rest_dominant,L_union,29,7,0.033877605268582696,-0.2222376829519687,0.29046186895810955,0.09338227910491906,0.69,descriptive,
5000,forage_dominant,E_high,18,8,0.0809357898238712,-0.06606711602351137,0.2155627302284279,0.02534661195594658,0.288,descriptive,
5000,forage_dominant,E_low,18,8,0.12671798526086314,-0.08260567557442558,0.37695021669222245,0.029790065061382893,0.161,descriptive,
5000,forage_dominant,E_union,18,8,0.20765377508473437,-0.01487154560555723,0.41489690193123974,0.05513667701732946,0.124,descriptive,
5000,forage_dominant,R_high,18,8,0.0173454907110201,-0.00939751303984645,0.03837697613488169,0.00495298742626773,0.275,descriptive,
5000,forage_dominant,R_low,18,8,-0.008631984144432635,-0.024186321954897328,0.006752068631583872,0.003977795477816679,0.795,descriptive,
5000,forage_dominant,R_union,18,8,0.008713506566587462,-0.02225668745507713,0.0377616693923238,0.008930782904084405,0.505,descriptive,
5000,forage_dominant,L_high,18,8,0.06359029911285113,-0.07291266025641024,0.18699993367315298,0.020393624529678852,0.343,secondary_forage_dominant_L_tails_8,0.645
5000,forage_dominant,L_low,18,8,0.1353499694052958,-0.07305239286856934,0.3823149978409125,0.02581226958356622,0.132,secondary_forage_dominant_L_tails_8,0.528
5000,forage_dominant,L_union,18,8,0.19894026851814692,-0.003282802528453546,0.3978030687977334,0.04620589411324507,0.118,primary_forage_dominant_L_union_4_scales,0.118
5000,rest_dominant,E_high,17,5,-0.002391460391460397,-0.16492096792096791,0.16013804713804713,0.032258051795088824,0.562,descriptive,
5000,rest_dominant,E_low,17,5,0.11215260665260667,-0.132994930994931,0.35730014430014434,0.07883743193002452,0.39,descriptive,
5000,rest_dominant,E_union,17,5,0.10976114626114623,-0.2979158989158989,0.5174381914381914,0.11109548372511335,0.504,descriptive,
5000,rest_dominant,R_high,17,5,-0.002228467438993758,-0.023418943629469953,0.01672932330827067,-0.00261259783189608,0.512,descriptive,
5000,rest_dominant,R_low,17,5,0.007327220537746851,-0.002425759425759425,0.019670578933736825,-0.0005578374262584814,0.231,descriptive,
5000,rest_dominant,R_union,17,5,0.005098753098753096,-0.016315789473684218,0.03403359019148493,-0.00317043525815456,0.328,descriptive,
5000,rest_dominant,L_high,17,5,-0.0001629929524666257,-0.1649230769230769,0.16459709101814368,0.03487064962698492,0.553,descriptive,
5000,rest_dominant,L_low,17,5,0.10482538611485978,-0.13178205128205128,0.3421839856050382,0.07939526935628301,0.41,descriptive,
5000,rest_dominant,L_union,17,5,0.10466239316239315,-0.29670512820512823,0.5060299145299145,0.11426591898326793,0.518,descriptive,
