event_id,scale_m,run_key,individual,status,support_points,native_cell_runs,record_cell_runs,maximum_nearest_grid_distance_deg
1000|7-(B):H001:P000|7|91|99,1000,7-(B):H001:P000,7,ok,9,6,6,0.020944354111168337
1000|7-(B):H001:P000|8|99|115,1000,7-(B):H001:P000,7,ok,17,10,8,0.022190426681403124
1000|7-(B):H001:P000|9|115|137,1000,7-(B):H001:P000,7,ok,23,9,9,0.02257465977785444
1000|7-(B):H001:P000|10|137|153,1000,7-(B):H001:P000,7,ok,17,4,4,0.022416919069686715
1000|7-(B):H001:P000|11|153|175,1000,7-(B):H001:P000,7,ok,23,9,9,0.02373198549314642
2000|7-(B):H001:P000|1|0|30,2000,7-(B):H001:P000,7,ok,31,16,15,0.024985894383079067
2000|7-(B):H001:P000|2|30|68,2000,7-(B):H001:P000,7,ok,39,10,9,0.022093129563313434
2000|7-(B):H001:P000|3|68|73,2000,7-(B):H001:P000,7,ok,6,4,4,0.02154275148099961
2000|7-(B):H001:P000|4|73|91,2000,7-(B):H001:P000,7,ok,19,5,4,0.019430317722835284
2000|7-(B):H001:P000|5|91|99,2000,7-(B):H001:P000,7,ok,9,6,6,0.020944354111168337
2000|7-(B):H001:P000|6|99|115,2000,7-(B):H001:P000,7,ok,17,10,8,0.022190426681403124
2000|7-(B):H001:P000|7|115|137,2000,7-(B):H001:P000,7,ok,23,9,9,0.02257465977785444
2000|7-(B):H001:P000|8|137|175,2000,7-(B):H001:P000,7,ok,39,12,12,0.02373198549314642
5000|7-(B):H001:P000|1|0|41,5000,7-(B):H001:P000,7,ok,42,20,19,0.024985894383079067
5000|7-(B):H001:P000|2|41|69,5000,7-(B):H001:P000,7,ok,29,6,6,0.02068887218873768
5000|7-(B):H001:P000|3|69|99,5000,7-(B):H001:P000,7,ok,31,13,6,0.02154275148099961
5000|7-(B):H001:P000|4|99|115,5000,7-(B):H001:P000,7,ok,17,10,8,0.022190426681403124
5000|7-(B):H001:P000|5|115|137,5000,7-(B):H001:P000,7,ok,23,9,9,0.02257465977785444
500|8:H001:P000|1|0|27,500,8:H001:P000,8,ok,28,15,15,0.022052357461046487
500|8:H001:P000|3|30|53,500,8:H001:P000,8,ok,24,16,11,0.02593829758912851
500|8:H001:P000|4|53|59,500,8:H001:P000,8,ok,7,5,4,0.023415728106398574
500|8:H001:P000|7|68|77,500,8:H001:P000,8,ok,10,7,4,0.022295234072923324
500|8:H001:P000|8|77|131,500,8:H001:P000,8,ok,55,24,21,0.021976435735689356
500|8:H001:P000|9|131|139,500,8:H001:P000,8,ok,9,4,4,0.023669415771424653
500|8:H001:P000|11|143|148,500,8:H001:P000,8,ok,6,3,2,0.02109051109431648
1000|8:H001:P000|1|0|27,1000,8:H001:P000,8,ok,28,15,15,0.022052357461046487
