segment_key,track_id,events,old_n_steps,event_count_match,rho_coordinate_max_abs_error_km,tau_nonincreasing_adjacent_pairs,tau_duplicate_fixes,tau_confirmation_reach_positive,rho_support_old,rho_support_rebuilt,rho_support_abs_error,eligible_records_min,eligible_records_median,panel,replicate,rho_chl_support,rho_chl_median_log_length
WA_Centurion20182019CRO20131_GPSdata_RS.xlsx|1,WA_Centurion20182019CRO20131_GPSdata_RS.xlsx,84.0,84.0,True,1.4228618283596006e-12,0.0,0.0,True,37.241943742995886,37.241943742995886,0.0,1.0,25.5,a-c,,,
WA_Centurion20182019CRO20211_GPSdata_RS.xlsx|1,WA_Centurion20182019CRO20211_GPSdata_RS.xlsx,123.0,123.0,True,1.7905676941154525e-12,0.0,0.0,True,119.66330622492364,119.66330622492364,0.0,1.0,16.0,a-c,,,
WA_Centurion20182019CRO20221_GPSdata_RS.xlsx|1,WA_Centurion20182019CRO20221_GPSdata_RS.xlsx,246.0,246.0,True,2.6209590053838387e-12,0.0,0.0,True,214.1341760590717,214.1341760590717,0.0,1.0,11.0,a-c,,,
WA_Centurion20182019CRO20321_GPSdata_RS.xlsx|1,WA_Centurion20182019CRO20321_GPSdata_RS.xlsx,158.0,158.0,True,1.2505552149377765e-12,1.0,0.0,True,223.92904053611392,223.92904053622647,1.1254996934439987e-10,1.0,22.0,a-c,,,
WA_Centurion20182019CRO20911_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO20911_GPSdata_RS.xlsx,52.0,52.0,True,1.6328050023162177e-12,0.0,0.0,True,68.69665523953472,68.69665523953472,0.0,1.0,15.5,a-c,,,
WA_Centurion20182019CRO20921_GPSdata_RS.xlsx|1,WA_Centurion20182019CRO20921_GPSdata_RS.xlsx,97.0,97.0,True,1.3429257705865896e-12,0.0,0.0,True,101.88391039422812,101.8839103942306,2.486899575160351e-12,1.0,10.0,a-c,,,
WA_Centurion20182019CRO20931_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO20931_GPSdata_RS.xlsx,136.0,136.0,True,1.408095862132086e-12,1.0,1.0,True,83.8978035276823,83.89780352765797,2.432898327242583e-11,1.0,22.0,a-c,,,
WA_Centurion20182019CRO21111_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO21111_GPSdata_RS.xlsx,352.0,352.0,True,1.6344703368531557e-12,1.0,1.0,True,319.238594729072,319.23859472908,7.958078640513122e-12,1.0,7.0,a-c,,,
WA_Centurion20182019CRO21121_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO21121_GPSdata_RS.xlsx,118.0,118.0,True,1.1297629498585593e-12,0.0,0.0,True,56.69576242834614,56.69576242834614,0.0,1.0,12.5,a-c,,,
WA_Centurion20182019CRO21211_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO21211_GPSdata_RS.xlsx,112.0,112.0,True,1.396660564978447e-12,0.0,0.0,True,217.5282150150817,217.5282150150817,2.8421709430404014e-14,1.0,16.5,a-c,,,
WA_Centurion20182019CRO21221_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO21221_GPSdata_RS.xlsx,46.0,46.0,True,8.57980353430321e-13,0.0,0.0,True,3.962964318530055,3.9629643185335226,3.467448550509289e-12,1.0,16.0,a-c,,,
WA_Centurion20182019CRO21222_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO21222_GPSdata_RS.xlsx,162.0,162.0,True,1.475486399726833e-12,0.0,0.0,True,194.2891167406065,194.2891167406065,2.8421709430404014e-14,1.0,9.0,a-c,,,
WA_Centurion20182019CRO21311_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO21311_GPSdata_RS.xlsx,305.0,305.0,True,1.503019930737537e-12,3.0,1.0,True,736.9125577655279,736.9125577655645,3.6607161746360355e-11,1.0,6.0,a-c,,,
WA_Centurion20182019CRO21421_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO21421_GPSdata_RS.xlsx,155.0,155.0,True,1.3695711231775933e-12,0.0,0.0,True,164.03444939703888,164.03444939703888,0.0,1.0,11.0,a-c,,,
WA_Centurion20182019CRO21611_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO21611_GPSdata_RS.xlsx,174.0,174.0,True,1.3532508447156033e-12,1.0,0.0,True,102.49558426874046,102.49558426874046,0.0,1.0,14.0,a-c,,,
WA_Centurion20182019CRO21621_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO21621_GPSdata_RS.xlsx,61.0,61.0,True,1.3482548411047901e-12,0.0,0.0,True,50.80910750066238,50.80910750066238,0.0,1.0,16.0,a-c,,,
