dataset,scale_m,event_id,n_runs,n_record_runs,decomposition_residual,panel,temporal_identity_residual,frozen_events,geometry_pass,a_chl_eligible,a_decomposition_eligible,b_chl_eligible,rho_tau_distinct_cell,rho_tau_distinct_cell_fraction
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|84,8.0,7.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|85,12.0,11.0,-1.1102230246251565e-16,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|90,3.0,2.0,1.1102230246251565e-16,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|100,18.0,18.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|103,4.0,2.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|104,4.0,3.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|105,3.0,2.0,1.1102230246251565e-16,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|0,5.0,5.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|2,5.0,5.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|3,8.0,7.0,1.1102230246251565e-16,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|4,12.0,11.0,-1.1102230246251565e-16,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|6,5.0,5.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|7,6.0,5.0,-1.1102230246251565e-16,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|8,4.0,3.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|31,3.0,2.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|42,3.0,3.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|46,4.0,4.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|51,6.0,5.0,-1.1102230246251565e-16,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|52,3.0,2.0,0.0,a-c,,,,,,,,
